MinTemp,MaxTemp,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday
4.4,18.3,80,36,8.4,17.4,No
4.4,18.2,78,35,9.2,17.2,No
7.1,18.5,90,30,8.8,18.2,No
4.2,18.9,60,34,11.2,18.1,No
9.6,18.8,54,42,13.1,16.5,No
3.5,21.8,72,34,8.7,21.2,No
5.3,23.3,90,26,9.5,22.5,No
7,14.3,68,40,9.1,13.7,Yes
0.4,18.9,77,33,5.2,17.6,No
3.2,21.4,76,27,8.2,20.5,No
5.9,21.8,70,35,12.9,20.8,No
8.1,20.5,66,48,14.9,19.5,No
6.9,18.9,68,45,13.8,17.8,No
5.6,19.5,69,49,14.3,18.6,No
7.2,22.9,82,28,14,22.2,No
7.1,23.4,72,29,12.7,22.4,No
6.1,24.1,75,32,11.5,23.7,No
7.1,19.8,96,56,10.7,19.1,Yes
5.6,18,70,40,12.4,17.9,Yes
5.4,20.7,66,36,12.3,20.4,No
6.3,19.3,65,39,12.6,18.8,No
5.3,21,77,44,12,20.4,No
7.9,19.7,58,43,14,19.1,No
8.4,16.1,69,51,13.6,15.2,No
8.1,18.7,66,65,13.5,15.6,No
2.4,20.6,77,34,10.6,19.8,No
5.6,18.9,79,49,12.5,17.7,No
7.5,19,74,43,12.6,18.1,No
2.5,21.2,82,55,9.2,17.6,No
5,20.9,84,42,10.1,20.6,No
3.8,21.7,99,34,7.9,20.2,No
7.9,18.7,68,51,14.4,16.6,No
4.3,11.3,75,60,7.1,8.8,Yes
-2.1,13.8,69,40,6.3,13.2,No
-1.8,14.8,80,40,5.3,13.9,No
3.8,13.8,67,54,10.5,12.4,No
2.1,17.3,81,38,8.7,15.9,No
0.5,17.1,74,42,7.4,16.2,No
-0.9,16.7,76,42,6.2,15.4,No
0.4,19,76,41,7.7,18.5,No
7.5,16.8,70,53,12.5,15.4,No
8.3,17.6,73,43,12.4,16.5,No
-0.2,18.1,80,44,6.7,16.9,No
0.1,21,78,36,7.6,20.7,No
1.5,20.9,80,41,8.4,20.9,No
8.3,17.4,80,52,13.5,17.2,No
9.4,19.2,73,47,12.1,18.8,No
1.3,19,87,34,7.9,18.6,No
2.2,18.6,84,44,8.5,17.8,No
-0.4,17.9,80,40,6.8,17.7,No
4.5,16,88,69,10,15.2,Yes
7.9,12.3,68,78,11.3,7.3,No
4.3,14.1,71,53,7.9,13.3,No
-2.7,18.1,85,36,3.5,16.7,No
0.3,17,99,52,3.8,16.2,No
3.8,17.4,81,47,8,16.6,No
2.4,14.7,74,43,5.9,13.8,No
1.2,14.8,81,49,5.3,14.5,No
1.2,14.5,74,43,6.5,13.9,No
-0.3,17.5,81,48,6.2,17.2,No
4.7,18.5,99,50,7,17.9,Yes
4.9,18.1,93,55,8.9,17.7,Yes
1.4,16.8,91,50,6.2,16.3,No
2.2,17.5,92,45,5.5,17.3,No
-0.1,18,83,46,5.6,17.4,No
-0.9,18.5,84,38,4.7,18.2,No
0.6,14,99,67,4.6,13.9,No
4.6,15.7,85,67,9.9,15.5,No
9.8,14.4,99,86,12.1,13.6,No
10.6,15.1,78,65,11.5,13.3,Yes
7.8,15.1,84,65,10.3,14.8,No
4.4,16.7,74,42,9.6,16.2,No
-0.2,15.5,86,42,4.9,14.5,No
4.3,14.5,76,70,7.9,13,No
7.4,16.3,75,65,12.1,14.5,No
8.6,13.7,97,94,10.3,11.6,Yes
10.2,15,90,65,12.9,13.7,Yes
7.3,16.4,86,48,11.2,14.7,No
8.7,13,82,58,8.8,11.1,No
1,11.8,73,49,6.5,11,No
2.1,14.7,72,57,9,13.8,No
6.4,16.9,78,51,9.5,16,No
5.4,15.5,80,58,9.4,14.9,No
0.4,15.5,97,70,4,15,No
4,15.9,95,63,8.4,14.8,No
8.4,11.7,91,86,9.7,11.3,Yes
0.4,13.9,99,59,4.2,12.1,No
4.2,14,74,44,8.8,12.5,No
0.9,12.9,92,53,5.5,12.3,No
0.8,13,95,69,4.3,11.7,No
4.3,12.6,75,54,7.8,11.3,No
6.3,11.8,81,48,7,11.5,No
3.5,14.3,71,51,6.7,12.7,No
-1.5,14.8,90,41,2.1,14.5,No
1.2,16,84,38,6.5,14.6,No
0.5,15.4,53,68,9.7,12.9,No
5.3,11.7,73,56,6.9,11.1,Yes
6.6,13.1,62,53,10.6,12.3,No
-1.6,11.5,82,53,3,11.1,No
-3.1,12,80,52,5.9,10.2,No
-0.1,14.2,81,55,4.7,12.6,No
-0.6,14,86,59,3.7,13.6,No
3,11.1,99,96,6.3,8.6,No
2.9,9.5,93,72,5.5,7.4,Yes
-1.3,8.8,95,68,1.8,8,No
1.8,8.7,83,85,6,6.9,No
2.9,8.4,76,66,5.5,7.1,Yes
-2.6,11.1,87,54,0.8,9.9,No
0.5,11,92,69,2.8,10.7,No
2.7,16.5,93,51,6.7,15.9,No
-1.7,13.6,83,46,3.9,13.3,No
-0.9,12.8,99,62,2.7,12.1,No
-1.8,11.5,99,55,1.3,11,No
1.3,10.6,75,73,7.7,8.2,No
2.4,11.6,71,48,6,10.7,Yes
-1.1,11,92,87,2.4,8.7,No
2.3,11.6,78,56,7.6,11.2,Yes
-2.2,11.6,68,33,3.4,11,No
-3.5,11.2,76,48,3.6,10.1,No
-1,12.2,82,51,3.7,10.8,No
-2.1,12.9,92,25,1.4,12.3,No
-2,11.3,88,50,1.2,10.9,No
-2.3,9.7,92,66,1,7.8,No
-1.6,10.7,74,56,5.6,9.6,Yes
0.8,12.2,69,49,6.5,11.2,No
-2.8,12.2,84,48,2.7,11.5,No
-2.8,14.1,81,38,3,12.8,No
3,9.7,64,82,9.6,8.6,No
4.4,11.5,67,56,6.9,10.5,Yes
2.3,12.8,70,48,7.8,11.6,No
-2,12.3,81,60,2.6,9.1,No
-1.9,10.9,78,72,5.5,7.2,No
4.8,14.1,67,48,8.9,13.6,Yes
-0.6,11.1,89,78,3.8,5.7,No
3.1,12.5,69,62,7.6,11.3,Yes
-2.9,9.6,76,70,5.6,8.1,No
-3.5,7.6,92,68,3.3,5.1,No
-0.3,9.3,72,60,4.7,8.3,No
0.1,10.4,69,63,7,8.6,No
2.3,12.2,58,41,6.5,10.4,No
2.1,10.7,59,45,6.2,9.5,No
4.6,14.7,54,51,9.2,12,No
3.7,14.2,52,27,8.7,13.5,No
-1.3,11.6,59,35,4.5,10.8,No
-3.4,12.5,89,30,1.4,11.2,No
-5.3,13.1,94,47,0.1,12.2,No
0,14,60,36,7.9,12.4,No
2.4,14.1,50,27,8.6,13.2,No
-0.6,12.2,66,44,6.9,10.7,No
2.3,11.6,49,38,6.7,11.1,No
-3.7,14.4,64,28,5.2,14,No
-0.9,14.2,82,34,5.3,12.8,No
-1.5,17.3,77,23,4.8,15.8,No
-3.3,15.1,57,23,7.9,14.4,No
-0.1,14.7,60,43,7.2,12.3,No
-0.2,16.2,74,45,7.3,14.6,No
0.5,16.3,81,45,6.2,15.4,No
6.1,17.2,89,85,13.5,12.6,Yes
4.1,14.8,60,34,8.8,14.3,Yes
0.1,16.7,69,44,9,14.9,No
3.2,12.1,69,51,9.3,11.1,No
5.4,11.3,65,61,8.3,10.2,No
5.8,12.4,79,73,8.7,10.8,No
6.3,16.1,63,33,10,15.7,No
-0.9,16.7,84,33,6.4,15.5,No
0.2,15.5,79,37,7.2,15.3,No
-3.7,14.7,53,25,5.5,13.4,No
-2.7,15.2,62,35,6.3,14.9,No
-2.5,16.6,68,20,6,16.3,No
-0.5,21.6,44,27,11.9,21.5,No
9,25.5,47,31,17.5,25.1,No
13.1,19.4,71,43,16.7,18.2,Yes
8.7,19.7,63,33,15.6,18.5,Yes
3.9,13.2,53,33,7.1,12.2,Yes
0.7,14.1,69,43,7.4,13.7,No
1.1,18,82,36,7,17.8,No
5.1,23.3,54,30,16.4,22.4,No
7.5,23.3,46,15,18.3,21.3,No
4.7,19.5,42,25,14.5,18.3,No
3.2,21.9,51,50,15.9,21,No
7.8,16.2,73,44,8,14.3,Yes
2.4,17.3,67,33,10.7,16.5,No
3.2,18.7,70,32,11,18.1,No
2.5,20.9,48,35,15.4,20,No
6.5,25.7,62,25,15.9,24.7,No
14.4,24.3,36,25,20.4,23,No
4.9,18.9,41,32,14.9,16,No
2.3,16.8,52,34,9.8,16.3,No
1.4,20.6,56,16,11.3,19.5,No
5.6,27.6,44,21,19,26.7,No
16.8,28.9,44,22,22.5,28.4,No
14.4,20.7,94,65,14.5,19.3,Yes
10.3,21.3,79,46,11.7,19.8,Yes
11.2,18,65,40,12.8,16.2,No
0.3,16,68,45,6.9,14.6,Yes
0.5,17.9,72,33,7.2,16.6,No
0.5,20,69,22,8.1,18.8,No
4.6,22,82,25,10,21.4,No
8.2,22.4,70,30,13.6,20.6,No
4.5,23.9,67,27,12.6,22.3,No
6.7,26.1,56,47,16.3,23.2,No
11.9,21.1,82,61,14.5,19.4,Yes
9.2,19.6,71,42,11.6,18.4,No
4.4,21,73,30,9.6,19.2,No
5,24.1,73,34,11.6,21.9,No
6.7,24.7,80,31,12.7,23.7,No
8.3,28.5,66,30,16.8,27.4,No
11.3,27.4,60,20,16.4,26.3,No
9,20.6,54,28,11.4,18.5,No
3.4,15,43,24,8.3,14.3,No
3.2,18,47,25,9.1,16.3,No
0.9,20.7,71,29,9.4,19.1,No
3.3,25.5,57,16,12,24.8,No
7.9,26.1,45,20,16.3,25.9,No
9,30.7,38,15,20.4,30,No
7.1,28.4,45,22,17.2,28.2,No
12.5,19.9,63,47,14.5,18.3,No
12.5,26.9,69,39,15.8,25.9,No
12.3,30.2,43,13,23.8,28.6,No
